*|FATURAMENTO POR MÉDIA|
443|MEDIDOR COM  INCLINACAO|
444|LAMPADA EM POSTE DE JARDIM-RAMAL CONVENCIONAL|
445|LAMPADA EM POSTE DE JARDIM-RAMAL CONCENTRICO|
446|UC COM ATIVIDADE RESIDENCIAL|
447|RESTAURANTE|
448|RESIDENCIAL COM AR CONDICIONADO|
449|MOTEL|
450|MED ELETRO C/SEG DISPLAY QUEIMADO|
451|MED. ELETR -BAT RUIM|
452|UC VIZINHA APTA VENDA PADAO|
453|SUSPEITA DE USO DE GARRAS NA RE|
454|UC SEM PORTA CARTA|
455|TAMPA CX DE MEDIÇÃO SEM TRANSPARENCIA|
456|MED TEVE CONTATO AGUA ENCHENTE|
457|CLUBE|
458|PARQUE DE VAQUEJADA|
459|MED DENTRO VARANDA/MURO FRENTE|
460|CX MEDIÇÃO VIRADA P/VIA PÚBLIC|
461|POSTO DE COMBUSTIVEL|
462|GRAFICA|
463|LIVRE PARA USO|
464|CERAMICA|
465|UC ASF HABITADA|
466|ZONA DE PIPA/RAIA|
467|CONST PADRÃO RURAL  ATÉ 50 M -|
468|CONST PADRÃO RURAL - 51 À 100|
469|CONST PADRÃO RURAL - 101 À 200|
470|MEDIÇÃO INTERNA - MURO BAIXO|
471|MEDIÇÃO INTERNA - MURO ALTO|
472|MEDIÇÃO INTERNA - CAO SOLTO|
473|MEDIÇÃO INTERNA - CAIXA ENERGIZADA|
474|MEDIÇÃO INTERNA - C/INSETO/ANIMAL PEÇONHENTO|
475|MEDIÇÃO INTERNA COM MEDIDOR ARRIADO|
476|BALNEARIO|
477|CONDOMINIO FECHADO COM IIP INTERNA|
478|CX MED POLICARB. TAMPA EMBASSA|
479|CX MED  FERRO TAMPA EMBASSADA|
480|MEDIDOR DERRETENDO COM LEITURA|
481|LUMINARIA CLANDESTINA|
482|MAIS DE UM MEDIDOR NA UC|
483|BAR|
484|PADARIA|
485|FABRICA DE GELO|
486|DISJUNTOR GERAL ACIMA DE 32A|
487|LOG5|
488|LOG6|
489|LOG7|
490|LOG8|
491|LOG9|
492|FRIGORIFICO|
493|LOG11|
494|LOG12|
495|SITUACAO DE  RISCO|
496|ARVORE NA REDE ELÉTRICA|
497|RAMAL DE LIGAÇÃO DANIFICADO|
498|SALAO DE BELEZA|
499|METALURGICA E RECICLGEM|
501|LOG01|
502|LOG02|
503|LOG03|
504|LEITURA MINIMA VALIDADA POR NC|
505|LEITURA MAXIMA VALIDADA POR NC|
506|FI RELIGADO MAIOR QUE 50 DIAS|
507|FAT CONVENCIONAL POR CLIENTE RELIGADO|
510|FATURADO POR LEITURA URA|
512|DUVIDOSO FATURADO POR MINIMA|
513|DUVIDOSO FATURADO POR MEDIA|
515|ASF COM FORNECIMENTO|
520|U.C.F - UC ATUAL|
521|MEDIÇÃO CAIXA TRAVADA|
522|MEDIDOR COM CAMPO MAGNETICO|
540|UC DEMOLIDA COM MEDIDOR COM RAMAL|
541|UC DEMOLIDA COM MEDIDOR SEM RAMAL|
555|LEITURA COLHIDA P/REPESCAGEM|
601|CODIGO DE CD 1|
602|CODIGO DE CD 2|
603|CODIGO DE CD 3|
604|CODIGO DE CD 4|
605|CODIGO DE CD 5|
606|CODIGO DE CD 6|
607|CODIGO DE CD 7|
608|CODIGO DE CD 8|
609|CODIGO DE CD 9|
610|CODIGO DE CD 10|
611|CD SE CODIGO|
612|CD PARTICULAR|
613|CÓDIGO DE CD 613|
614|CÓDIGO DE CD 614|
615|CÓDIGO DE CD 615|
616|CÓDIGO DE CD 616|
617|CÓDIGO DE CD 617|
618|CÓDIGO DE CD 618|
619|CÓDIGO DE CD 619|
620|CÓDIGO DE CD 620|
621|CÓDIGO DE CD 621|
622|CÓDIGO DE CD 622|
623|CÓDIGO DE CD 623|
624|CÓDIGO DE CD 624|
625|CÓDIGO DE CD 625|
626|CÓDIGO DE CD 626|
627|CÓDIGO DE CD 627|
628|CÓDIGO DE CD 628|
629|CÓDIGO DE CD 629|
630|CÓDIGO DE CD 630|
631|CÓDIGO DE CD 631|
632|CODIGO DE CD 632|
633|CODIGO DE CD 633|
700|ÁREA COM DCZ  - (DENGUE,CHICUNGUNHA OU ZICA)|
701|RISCO POTENCIAL DE FOCO MOSQUITO AEDES AEGYPTI|
777|SMART CITY|
A1|CLIENTE SEM FORNECIMENTO C/CON|
A2|CLIENTE SEM FORNECIMENTO C/CON|
A3|CLIENTE SEM FORNECIEMENTO C/CO|
B|LEITURA BIMESTRAL|
C|CLIENTE SEM FORNECIMENTO|
F|CONSUMO FIXO - FORFAIT|
G|G - D - L|
N|UC SEM MEDIDOR|
S|SEM REGISTRO NO ARQUIVO MOVIMENTO|
SI|CODIGO IRREGULARIDADE INVALIDO|
SL|SEM LEITURA / SEM IRRREGULARIDADE|
U|FATURADO TAXA MINIMA|
